,price,id,host_listings_count,cleaning_fee,security_deposit,accommodates,bedrooms,minimum_nights,guests_included,reviews_per_month,calculated_host_listings_count,room_type_Shared_room,room_type_Private_room,room_type_Hotel_room,host_response_time_unknown,host_response_time_within_a_day,host_response_time_within_a_few_hours,host_response_time_within_an_hour
43,750,170273,1,175,500,7,3,2,6,2.41,1,0,0,0,0,0,0,1
44,78,189156,1,50,300,2,0,2,2,3.09,1,0,0,0,0,0,0,1
45,80,190984,2,50,150,2,1,2,2,2.41,2,0,0,0,0,0,0,1
46,59,192666,2,30,500,2,1,1,1,2.31,2,0,1,0,0,0,0,1
47,89,193836,1,75,200,5,1,1,2,1.9,1,0,0,0,0,0,0,1
48,175,202251,1,175,500,6,3,30,4,0.38,1,0,0,0,0,0,0,1
49,95,210316,4,50,100,2,1,3,2,1.13,4,0,1,0,0,0,0,1
50,80,215882,1,75,125,2,1,2,2,3.82,1,0,0,0,0,0,0,1
51,200,217142,4,115,200,7,2,2,1,1.67,4,0,0,0,0,0,1,0
52,90,218741,2,25,200,3,1,1,2,1.49,2,0,1,0,0,0,0,1
53,275,219532,11,80,400,6,3,2,4,0.97,5,0,0,0,0,0,0,1
54,139,224763,4,95,300,4,1,1,1,1.1,4,0,0,0,0,0,1,0
55,170,226495,11,70,300,6,2,2,2,1.02,5,0,0,0,0,0,0,1
56,46,226536,2,15,100,2,1,1,1,2.09,2,0,1,0,0,0,0,1
57,55,226677,8,10,100,2,1,2,1,1.54,8,0,1,0,0,0,1,0
58,160,229990,2,75,200,9,2,1,6,0.53,1,0,0,0,0,0,0,1
59,215,241016,3,20,0,5,3,2,2,1.56,3,0,0,0,0,0,1,0
60,165,241032,3,10,0,4,1,3,1,3.09,3,0,0,0,0,0,1,0
61,125,243885,1,100,100,5,2,7,5,0.04,1,0,0,0,1,0,0,0
62,85,251922,1,90,250,4,2,1,2,2.45,1,0,0,0,0,0,0,1
63,85,254340,1,75,200,2,1,30,2,1.69,1,0,0,0,0,0,0,1
64,100,260613,2,100,800,2,1,1,1,0.59,1,0,0,0,0,0,0,1
65,200,261912,2,150,400,4,2,4,2,0.34,2,0,0,0,0,0,0,1
66,144,271509,57,130,500,6,2,2,1,0.83,53,0,0,0,0,0,0,1
67,139,277416,4,96,300,4,1,2,1,1.26,4,0,0,0,0,0,1,0
68,375,278830,3,200,2000,6,3,3,4,0.83,3,0,0,0,0,0,0,1
69,229,281208,17,170,0,6,2,7,4,1.77,13,0,0,0,0,0,0,1
70,183,284087,3,95,100,6,2,3,4,2.06,1,0,0,0,0,0,0,1
71,182,286080,57,130,500,6,2,2,1,1.04,53,0,0,0,0,0,0,1
72,125,299817,2,250,350,3,2,7,2,0.65,1,0,0,0,0,0,0,1
73,94,301059,57,107,500,4,1,2,1,0.62,53,0,0,0,0,0,0,1
74,120,303277,4,250,1200,2,2,30,1,0.11,2,0,0,0,0,0,1,0
75,50,311790,4,75,100,1,1,1,1,0.05,2,0,1,0,0,0,1,0
76,240,317248,17,170,0,7,2,7,4,2.03,13,0,0,0,0,0,0,1
77,135,319768,1,100,0,8,3,5,3,0.05,1,0,0,0,1,0,0,0
78,165,338091,3,60,200,4,1,1,2,1.3,3,0,0,0,0,0,0,1
79,90,340706,1,30,100,4,1,2,2,2.02,1,0,0,0,0,0,1,0
80,175,341454,3,65,0,4,2,30,1,1.26,3,0,0,0,0,0,0,1
81,155,353039,8,75,0,4,1,3,1,0.61,6,0,0,0,0,1,0,0
82,107,353110,1,65,0,5,1,4,1,0.77,1,0,0,0,1,0,0,0
83,185,353347,1,125,300,6,2,4,4,0.39,1,0,0,0,0,0,0,1
84,199,356248,7,150,500,4,2,7,1,0.66,3,0,0,0,0,0,1,0
85,196,356608,8,100,0,6,2,3,1,1.34,6,0,0,0,0,1,0,0
86,125,365550,3,0,250,2,1,3,1,7.98,2,0,1,0,0,0,0,1
87,450,368403,1,425,600,16,6,4,1,0.45,1,0,0,0,0,0,1,0
88,85,370361,2,50,0,2,1,3,2,2.37,2,0,1,0,0,0,0,1
89,400,380950,1,225,400,12,4,1,8,0.28,1,0,0,0,1,0,0,0
90,499,384797,9,479,1500,16,6,3,11,0.54,3,0,0,0,0,0,1,0
91,119,387078,7,99,200,4,1,1,1,1.86,7,0,0,0,0,0,1,0
92,93,387464,1,20,0,2,1,2,2,2.35,1,0,0,0,0,1,0,0
93,72,392140,1,15,0,2,1,2,1,2.86,1,0,1,0,0,0,0,1
94,112,392779,1,85,250,4,2,3,2,1.52,1,0,0,0,0,1,0,0
95,269,413733,2,50,100,6,2,2,2,3.25,2,0,0,0,0,0,0,1
96,71,421168,1,30,0,2,1,1,2,3.78,1,0,1,0,1,0,0,0
97,225,430609,8,99,0,8,3,21,1,0.81,5,0,0,0,0,0,0,1
98,259,430610,8,99,200,8,3,5,7,1.16,5,0,0,0,0,0,0,1
99,85,433842,1,75,100,2,1,2,1,1.22,1,0,0,0,1,0,0,0
100,80,445199,1,40,100,2,1,2,2,1.09,1,0,1,0,1,0,0,0
101,120,447488,2,80,250,2,1,1,1,0.65,2,0,1,0,0,0,0,1
102,195,451012,1,200,0,6,3,7,6,0.02,1,0,0,0,1,0,0,0
103,395,463768,1,125,0,5,4,2,5,0.27,1,0,0,0,1,0,0,0
104,77,475361,1,90,0,2,1,3,2,1.32,1,0,0,0,0,0,1,0
105,200,475496,2,50,0,4,2,20,2,0.01,2,0,0,0,0,0,1,0
106,80,490076,3,45,350,2,1,2,3,4.97,3,0,0,0,0,0,0,1
107,275,490110,1,100,500,2,1,3,2,0.5,1,0,0,0,1,0,0,0
108,75,491958,1,30,100,4,1,2,2,3.85,1,0,0,0,0,0,1,0
109,60,493591,4,50,200,2,1,3,2,1.9,4,0,1,0,0,0,0,1
110,95,496074,2,40,150,3,1,3,2,1.78,2,0,0,0,0,0,0,1
111,95,506542,4,60,0,4,0,2,2,1.98,4,0,0,0,0,0,0,1
112,120,513344,2,85,0,4,2,5,2,0.06,2,0,0,0,0,0,0,1
113,140,522270,11,40,250,2,1,2,2,0.43,5,0,0,0,0,0,0,1
114,95,544433,1,45,300,2,1,2,2,5.0,1,0,0,0,0,0,0,1
115,149,552325,7,150,500,4,2,3,1,0.27,3,0,0,0,0,0,1,0
116,98,557126,2,25,150,2,1,2,3,4.23,2,0,1,0,0,0,0,1
117,40,564220,2,5,0,2,1,2,2,1.85,2,0,1,0,0,0,0,1
118,47,564428,2,5,100,2,1,2,2,2.92,2,0,1,0,0,0,0,1
119,95,565703,3,40,100,4,2,2,3,3.9,3,0,0,0,0,0,0,1
120,80,566435,4,40,100,2,1,3,2,1.05,4,0,1,0,0,0,0,1
121,60,573942,8,15,100,2,1,2,1,1.86,8,0,1,0,0,0,1,0
122,168,580815,8,75,0,2,1,30,1,0.67,6,0,0,0,0,1,0,0
123,123,587584,5,100,500,4,2,2,2,0.72,1,0,0,0,0,0,0,1
124,89,598023,1,30,250,2,2,3,1,0.2,1,0,1,0,0,0,1,0
125,210,604600,135,50,200,4,1,1,1,0.02,1,0,0,0,0,1,0,0
126,275,609252,2,70,300,4,2,3,4,0.07,2,0,0,0,0,0,1,0
127,295,609421,2,70,300,6,2,3,6,0.22,2,0,0,0,0,0,1,0
128,99,609701,1,30,0,2,1,2,1,5.67,1,0,1,0,0,0,0,1
